Provider,Total_Inpatient_Claims,Total_Claim_Amt,Avg_Claim_Amt,Claim_Amt_Std,Total_Deductible_Amt,Patient_Risk_Profile,Avg_PartA_Coverage,Avg_Alzheimer_Risk,Avg_HeartFailure_Risk,Avg_KidneyDisease_Risk,Avg_Cancer_Risk,Avg_Annual_Reimbursement,PotentialFraud
PRV51001,5,97000,19400.0,18352.11159512714,5340.0,2.6,12.0,0.4,0.8,0.8,0.2,77902.0,No
PRV51003,62,573000,9241.935483870968,8513.606243799273,66216.0,2.1129032258064515,11.806451612903226,0.5161290322580645,0.5806451612903226,0.6290322580645161,0.11290322580645161,12696.612903225807,Yes
PRV51007,3,19000,6333.333333333333,3511.884584284246,3204.0,2.3333333333333335,12.0,0.6666666666666666,1.0,0.3333333333333333,0.0,11710.0,No
PRV51008,2,25000,12500.0,12020.815280171308,2136.0,1.5,12.0,0.5,0.0,0.5,0.5,18750.0,No
PRV51011,1,5000,5000.0,0.0,1068.0,3.0,12.0,1.0,0.0,1.0,0.0,5000.0,No
PRV51021,29,269000,9275.862068965518,10277.911654625932,30972.0,2.310344827586207,12.0,0.5172413793103449,0.5862068965517241,0.6896551724137931,0.20689655172413793,17844.48275862069,Yes
PRV51023,9,54000,6000.0,3741.657386773941,8544.0,2.5555555555555554,12.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.2222222222222222,11666.666666666666,No
PRV51024,9,61000,6777.777777777777,3767.5515184857713,9612.0,2.0,12.0,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.0,9423.333333333334,No
PRV51025,13,86000,6615.384615384615,5252.593986759645,13884.0,2.076923076923077,12.0,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.15384615384615385,10149.23076923077,No
PRV51030,82,705600,8604.878048780487,8114.731344891162,86508.0,2.317073170731707,11.707317073170731,0.5365853658536586,0.7317073170731707,0.5365853658536586,0.2073170731707317,12525.853658536585,No
PRV51031,28,329000,11750.0,13164.556792978468,29904.0,2.3214285714285716,12.0,0.5357142857142857,0.6785714285714286,0.6428571428571429,0.17857142857142858,16102.5,No
PRV51035,1,29000,29000.0,0.0,1068.0,1.0,12.0,0.0,1.0,0.0,0.0,29840.0,No
PRV51037,23,214000,9304.347826086956,5849.901184936185,24564.0,2.4782608695652173,12.0,0.5652173913043478,0.8260869565217391,0.6086956521739131,0.21739130434782608,13172.608695652174,Yes
PRV51038,30,229600,7653.333333333333,4210.637869060674,30972.0,1.9333333333333333,12.0,0.43333333333333335,0.6,0.5333333333333333,0.16666666666666666,12401.0,No
PRV51040,9,63000,7000.0,7681.145747868608,8544.0,2.6666666666666665,12.0,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.2222222222222222,28271.11111111111,No
PRV51046,8,101000,12625.0,11160.357137142675,8544.0,2.5,12.0,0.5,1.0,0.625,0.25,17617.5,No
PRV51048,4,19000,4750.0,1707.825127659933,4272.0,3.0,12.0,0.25,1.0,1.0,0.5,8075.0,No
PRV51052,2,14000,7000.0,2828.42712474619,2136.0,2.0,12.0,0.5,1.0,0.0,0.5,7000.0,Yes
PRV51053,1,8000,8000.0,0.0,1068.0,3.0,12.0,0.0,1.0,1.0,0.0,8000.0,No
PRV51055,2,16700,8350.0,10818.733752154178,2136.0,1.5,12.0,0.0,1.0,0.0,0.0,11350.0,No
PRV51056,2,8000,4000.0,1414.213562373095,2136.0,2.5,12.0,0.5,0.5,1.0,0.0,9500.0,No
PRV51058,5,91000,18200.0,22129.166274399042,5340.0,3.0,12.0,0.6,0.8,0.8,0.4,22684.0,No
PRV51059,25,401000,16040.0,16539.04471243729,26700.0,2.6,11.52,0.44,0.88,0.64,0.24,38933.6,Yes
PRV51060,5,35000,7000.0,4301.162633521313,5340.0,3.0,12.0,0.6,0.8,1.0,0.4,13408.0,No
PRV51061,1,3000,3000.0,0.0,1068.0,2.0,12.0,0.0,1.0,1.0,0.0,5400.0,No
PRV51062,3,45000,15000.0,10535.653752852739,3204.0,2.3333333333333335,12.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,34636.666666666664,No
PRV51064,36,280000,7777.777777777777,7187.732052844767,38448.0,2.0833333333333335,11.666666666666666,0.4166666666666667,0.7777777777777778,0.6111111111111112,0.16666666666666666,12289.722222222223,Yes
PRV51065,10,75000,7500.0,2915.4759474226503,9612.0,1.6,10.8,0.4,0.8,0.3,0.1,12529.0,No
PRV51066,2,19000,9500.0,7778.174593052023,2136.0,1.0,12.0,0.5,0.5,0.0,0.0,22500.0,No
PRV51067,12,326000,27166.666666666668,23241.159935586587,12816.0,2.0,12.0,0.16666666666666666,0.8333333333333334,0.5833333333333334,0.08333333333333333,47670.833333333336,Yes
PRV51068,9,77000,8555.555555555555,5126.185499743233,8544.0,2.0,12.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.3333333333333333,12371.111111111111,No
PRV51070,10,101000,10100.0,5952.590472502987,10680.0,2.3,12.0,0.6,0.7,0.5,0.2,13106.0,No
PRV51072,12,72000,6000.0,3741.657386773941,11748.0,2.25,12.0,0.5,0.5833333333333334,0.75,0.08333333333333333,10261.666666666666,No
PRV51074,5,31000,6200.0,5215.361924162119,5340.0,1.8,12.0,0.6,0.4,0.6,0.0,19692.0,No
PRV51077,16,199000,12437.5,13559.590701787425,16020.0,3.0,12.0,0.6875,0.9375,0.8125,0.125,17585.625,Yes
PRV51078,9,76000,8444.444444444445,4772.607021092118,8544.0,1.8888888888888888,12.0,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.1111111111111111,9604.444444444445,No
PRV51081,6,79000,13166.666666666666,17279.081765726634,6408.0,2.1666666666666665,12.0,0.6666666666666666,0.5,0.5,0.3333333333333333,20226.666666666668,No
PRV51084,20,191000,9550.0,11311.26592570899,21360.0,2.4,12.0,0.7,0.7,0.65,0.15,13671.0,Yes
PRV51086,31,413000,13322.58064516129,12765.545024986057,33108.0,2.2580645161290325,12.0,0.41935483870967744,0.7096774193548387,0.6451612903225806,0.25806451612903225,20045.8064516129,No
PRV51089,18,177000,9833.333333333334,10251.25530333323,18156.0,2.2222222222222223,11.333333333333334,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.1111111111111111,18961.666666666668,No
PRV51093,2,11000,5500.0,7778.174593052023,2136.0,2.5,12.0,0.5,1.0,0.5,0.0,15500.0,No
PRV51100,5,78000,15600.0,11436.782764396638,5340.0,1.6,12.0,0.2,0.8,0.4,0.0,15738.0,No
PRV51101,3,16600,5533.333333333333,6576.726642740547,3204.0,3.0,12.0,0.6666666666666666,1.0,1.0,0.0,9200.0,No
PRV51102,12,148000,12333.333333333334,12017.663767315278,12816.0,2.0,12.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.08333333333333333,14833.333333333334,No
